grid_id,PR,BH_avg,APAR,RD,poi_diversity,dominant_function_ratio,PD,ED,LPI,nli,LST_mean
8849,0.4940549761096058,39.6,0.2051507668390615,0.0,0.0,0.0,12.0,22500.0,51.0,13.895,29.15428571428575
8850,0.2907381326922096,16.363636363636363,0.4148177495268911,0.0,0.0,0.0,36.0,26100.0,59.75,11.51,29.11238095238098
8971,0.1595719821664731,18.0,0.3771804059667448,0.0,0.0,0.0,12.0,16700.0,61.75000000000001,2.93,27.579387755102072
8973,1.1223194874929157,15.157894736842104,0.217573650185319,176.66882938214047,0.0,0.0,4.0,11400.0,74.5,5.045,28.17367346938778
8976,0.5123935321450037,17.5,0.2478115798350001,0.0,0.0,0.0,8.0,9700.0,82.0,4.9725,28.331428571428606
8979,0.7288150761915521,19.32,0.2136263932727002,0.0,0.0,0.0,36.0,17800.0,55.25,5.965,28.413809523809554
9002,1.066826993232718,46.05882352941177,0.2046350818832178,0.0,0.0,0.0,36.0,25600.0,66.25,4.7275,28.708571428571457
9007,0.0312870549366219,6.0,0.3190992958280788,0.0,0.0,0.0,4.0,42400.0,16.0,2.925,27.99000000000002
9025,0.1224899498614049,43.71428571428572,0.3226011714380033,0.0,0.0,0.0,20.0,38400.0,20.0,4.1275,28.06523809523812
9027,0.9952677198009876,45.9,0.4065573769083352,0.0,0.0,0.0,24.0,28800.0,39.25,6.2325,28.805238095238128
9045,0.0338773615092377,6.0,0.1476357177016802,882.7130704448266,0.0,0.0,40.0,38600.0,44.75,5.28,28.83190476190479
9046,1.1185587400657862,27.285714285714285,0.2185329981760149,179.59952742290295,0.0,0.0,16.0,26100.0,58.75,5.985,29.08380952380955
9047,1.6016512527178228,22.527272727272727,0.2396576658816638,31.81285983115012,0.0,0.0,36.0,13000.0,78.25,5.2075,29.01285714285717
9049,0.9962235315180809,22.916666666666668,0.2477422435315703,0.0,0.0,0.0,32.0,29700.0,53.0,5.435,28.996666666666695
9050,0.4967469393665078,22.05,0.2746939632610111,29.74069064148857,0.0,0.0,4.0,17100.0,46.25,10.045,28.42571428571432
9172,0.8862207589578224,35.07692307692308,0.2761895698128406,167.80008715044593,0.0,0.0,72.0,21800.0,72.0,10.79,28.994761904761926
9173,0.4941898833822464,17.34375,0.3731125171957866,97.47079784066273,2.0,0.8,4.0,19800.0,57.49999999999999,5.4175,28.930816326530643
9174,0.8329716015055685,16.105263157894736,0.2548862820583982,74.25353846861323,0.0,0.0,16.0,18300.0,69.5,6.275,29.520612244897983
9175,0.0016348833022778,6.0,0.4450771888248728,319.1669515515332,1.0,1.0,36.0,31300.0,29.25,3.5275,28.71612244897961
9176,0.2231954848780578,10.5,0.2234628739096014,0.0,0.0,0.0,8.0,26400.0,56.99999999999999,7.34,29.52095238095241
9177,0.2012263853873339,33.0,0.2698537251916228,297.92494667652056,0.0,0.0,64.0,27100.0,51.24999999999999,4.185,28.893809523809555
9178,0.2731931542248501,60.0,0.145827783578078,0.0,0.0,0.0,28.0,27000.0,55.75,6.4575,29.058095238095277
9179,0.2360434655813658,9.23076923076923,0.2503369601028565,139.20876020616154,0.0,0.0,12.0,22900.0,41.5,4.9925,29.36333333333337
9180,0.0077129546356555,6.0,0.2855366140572351,167.24960425873277,0.0,0.0,44.0,34900.0,32.0,4.3975,28.799523809523844
9201,0.7170502154672539,25.852941176470587,0.278570330555732,0.0,0.0,0.0,36.0,32900.0,33.75,4.985,29.10809523809527
9202,0.1686776499568491,9.0,0.2061354067635509,0.0,0.0,0.0,4.0,28100.0,28.75,2.4825,30.07285714285718
9204,0.1556585315410941,46.0,0.1872716105647554,22.674728481612828,0.0,0.0,8.0,33000.0,20.75,2.7925,29.464761904761936
9299,0.021930148722247,6.0,0.1804160058098962,0.0,0.0,0.0,72.0,33300.0,35.25,8.82,28.779047619047653
9312,0.0379569829447175,24.0,0.1807822198338022,23.980803050253577,0.0,0.0,56.0,31300.0,33.0,4.075,28.872380952380983
9313,0.0561476999943518,6.0,0.1039979191583329,0.0,0.0,0.0,72.0,37900.0,28.75,6.48,28.95523809523813
9315,0.0708742443119932,23.5,0.2981764200041075,0.0,0.0,0.0,40.0,28800.0,60.0,7.2775,28.86952380952385
9317,0.8787995297862098,12.833333333333334,0.2907016326220429,0.0,0.0,0.0,28.0,30000.0,53.75,3.2725,28.212857142857175
9318,0.5649338305883238,8.378048780487806,0.2600708753634884,111.4312516382998,0.0,0.0,16.0,25300.0,57.25,0.0,28.74571428571432
9319,0.0413878061261499,6.0,0.1651136550805334,0.0,0.0,0.0,4.0,21900.0,38.0,0.0,29.27380952380956
9320,0.1687812589858499,13.714285714285714,0.2590230223976641,0.0,0.0,0.0,28.0,30700.0,39.5,0.0,28.644761904761936
9322,0.1442531758693213,6.0,0.2011925444231288,0.0,0.0,0.0,4.0,25400.0,55.50000000000001,16.1725,29.03190476190479
9323,0.0080821126478534,6.0,0.2855863711260094,107.92747807427467,0.0,0.0,4.0,22900.0,38.5,3.455,29.07190476190479
9325,0.3529336418928872,12.0,0.2128749084119957,0.0,0.0,0.0,12.0,27600.0,57.99999999999999,17.165,28.956190476190507
9326,0.0549763198372893,8.0,0.1776556442697353,65.0683926701486,0.0,0.0,4.0,27200.0,28.5,5.8425,28.96095238095241
9327,1.2894755911949785,24.45652173913044,0.2687105737457249,0.0,0.0,0.0,32.0,21300.0,74.5,15.455,29.18380952380955
9329,0.325505372170497,9.486486486486486,0.2772313473701046,0.0,0.0,0.0,4.0,34200.0,41.25,4.68,29.036666666666697
9330,0.782190656764455,18.857142857142858,0.411957419912028,0.0,0.0,0.0,4.0,27600.0,60.0,0.0,28.851428571428603
9332,0.0136756380992896,6.0,0.2874048564774428,0.0,0.0,0.0,8.0,35800.0,29.25,0.0,28.66809523809527
9333,0.5321660790800465,18.0,0.1686946564295711,86.10114387139939,0.0,0.0,4.0,25700.0,52.25,20.54,28.891428571428605
9334,0.7135221758558665,17.272727272727273,0.2325019105398151,157.36324693956018,1.0,1.0,8.0,24200.0,42.25,3.0875,29.250000000000032
9335,0.3554970256362527,18.0,0.1604292675570504,176.50711382130973,0.0,0.0,4.0,30200.0,38.25,4.4925,28.542380952380984
9336,0.4934874765672425,18.0,0.1844190438410792,234.87838989316643,1.0,1.0,4.0,26600.0,31.0,3.3475,28.659387755102067
9337,0.3209396928888263,11.5,0.2060868503792826,0.0,0.0,0.0,4.0,38000.0,13.25,27.41,28.821836734693903
9338,0.3807168674052326,18.0,0.3325863975976991,152.03802847906178,1.0,1.0,24.0,28800.0,33.25,5.0675,28.4944897959184
9339,0.2781290139097435,18.0,0.1008564790960686,35.65607444019708,0.0,0.0,20.0,29800.0,49.25,30.510002,28.6666666666667
9399,0.6906521801346809,12.486486486486486,0.2735818097598832,11.003091795742128,0.0,0.0,48.0,25300.0,63.5,7.97,28.234761904761932
9400,0.2425444253765581,12.571428571428571,0.4313588399792255,496.86465594899374,0.0,0.0,64.0,39000.0,38.75,5.795,27.88952380952384
9423,0.1130433822275305,9.923076923076923,0.2301122715237191,0.0,0.0,0.0,64.0,35700.0,43.75,6.61,27.823809523809555
9429,0.3150687699625374,6.0,0.3022631355065174,0.0,0.0,0.0,4.0,18600.0,66.25,5.93,27.9144897959184
9551,0.3710026590553543,27.0,0.2037503179335871,0.0,0.0,0.0,20.0,13400.0,70.5,5.6925,28.464285714285747
9552,0.1437013371312433,18.0,0.151418873605159,0.0,0.0,0.0,12.0,6300.0,85.5,7.135,28.72095238095241
9554,0.0237515424078921,18.0,0.1454061677720101,151.9391360453982,0.0,0.0,24.0,12700.0,81.5,5.3225,28.428750000000036
9555,0.5435400572782508,19.22222222222222,0.2143660136929713,120.55262376210138,0.0,0.0,36.0,16800.0,74.0,18.9075,28.674761904761937
9556,0.44049850198665,12.714285714285714,0.3240044165597033,62.212119940069385,0.0,0.0,12.0,8000.0,82.25,8.74,28.57708333333336
9557,0.4109826139141078,25.8,0.5446299634654356,0.0,0.0,0.0,44.0,22400.0,67.5,10.445,29.21047619047622
9558,0.0642673133586646,18.0,0.1703940356585072,0.0,0.0,0.0,20.0,10600.0,81.25,17.14,28.631250000000037
9559,0.5153114697494937,24.75,0.1873927164590296,0.0,0.0,0.0,40.0,34400.0,42.5,20.25,28.891904761904797
9560,0.867852008243534,17.78048780487805,0.2811374400153879,0.0,0.0,0.0,28.0,16900.0,76.25,41.15,28.86380952380956
9581,1.2431490680243238,31.1875,0.2915516556000684,68.88707675250603,0.0,0.0,40.0,23200.0,69.25,10.2275,28.77163265306125
9582,0.4147282185457352,16.41176470588235,0.2131428304506107,0.0,0.0,0.0,20.0,12100.0,78.5,20.0225,28.84224489795921
9583,1.098786713550166,16.153846153846153,0.2760725522609847,0.0,0.0,0.0,24.0,14900.0,76.0,7.6475,28.599285714285745
